ORF Length,GC Content,Transcript Length,CpG Island,Ficket score,coding=1
303,51,2077,40,0,0
1914,65,3475,165,1,1
411,51,514,15,1,0
432,55,5586,118,0,0
216,48,1406,35,1,0
483,57,3126,121,1,0
123,39,410,1,1,0
477,50,2027,33,1,0
165,40,535,6,1,0
96,40,555,2,1,0
174,54,491,27,1,0
315,43,1405,9,1,0
141,33,2336,9,0,0
171,44,1576,13,1,0
477,48,1679,12,0,0
168,49,2065,48,0,0
570,47,2669,22,0,0
195,53,952,17,0,0
240,45,631,4,1,0
219,48,723,9,1,0
153,34,755,5,1,0
432,54,6473,159,0,0
258,49,1040,14,1,0
168,47,805,6,1,0
225,48,639,11,0,0
177,51,448,10,1,0
318,60,1175,55,2,0
42,42,655,7,1,0
324,54,989,49,0,0
195,43,1256,26,1,0
273,49,1120,49,0,0
804,44,3498,46,1,0
132,38,442,3,1,0
90,53,416,13,1,0
342,52,494,9,0,0
171,41,2208,24,0,0
4917,59,5355,250,1,1
219,43,2708,35,0,0
183,49,624,30,0,0
72,44,432,1,1,0
132,32,1075,2,1,0
1158,70,1309,126,1,1
258,40,802,5,1,0
372,63,911,47,1,0
231,42,2002,18,1,0
144,37,2565,39,0,0
159,45,1159,20,0,0
2757,68,3012,260,1,1
477,49,2104,16,1,0
225,41,1513,22,0,0
327,58,494,14,0,0
147,31,396,1,0,0
147,31,1254,6,0,0
144,44,547,3,0,0
207,48,506,4,0,0
258,57,556,23,0,0
195,43,731,4,1,0
159,49,852,6,1,0
0,62,351,24,1,0
117,54,588,18,0,1
123,42,287,4,2,0
66,51,419,6,0,0
1944,62,4098,224,1,1
219,46,566,4,1,0
144,40,960,5,1,0
804,64,1055,84,1,0
291,58,491,6,2,0
231,46,2083,42,0,0
225,50,714,10,1,0
135,54,723,35,0,0
174,49,898,18,0,0
282,53,872,20,1,0
195,52,934,15,0,0
282,49,1018,13,1,0
372,53,2424,52,1,0
441,49,1220,23,1,0
60,56,394,8,1,0
285,50,1828,30,1,0
393,41,3774,31,0,0
249,56,925,23,0,0
198,51,619,9,0,0
207,46,555,6,1,0
282,63,455,14,1,0
225,52,1194,43,1,0
165,44,1342,13,1,0
357,44,4817,83,0,0
141,47,1651,29,1,0
69,46,1536,54,0,0
285,53,770,24,0,0
495,64,637,37,1,1
183,61,716,44,1,1
189,52,480,16,1,0
297,46,1093,17,0,0
114,58,679,22,1,0
171,43,923,12,0,0
282,48,1019,12,0,0
102,41,881,5,0,0
138,50,811,12,1,0
150,37,538,8,0,0
138,47,386,3,1,0
261,37,1290,10,1,0
1914,66,2731,148,1,1
180,43,863,16,0,0
183,62,584,49,1,0
333,51,445,13,1,0
168,41,2580,32,0,0
147,52,911,27,0,0
237,40,881,6,1,0
108,48,646,9,1,0
135,48,680,13,1,0
348,59,1043,37,1,0
93,55,767,35,0,0
273,51,1756,25,1,0
672,48,1421,17,1,0
249,43,1363,5,0,0
318,54,2922,49,0,0
198,42,1179,23,1,0
210,57,563,32,1,1
351,65,574,23,2,0
477,52,2305,51,1,0
279,53,1548,29,0,0
129,53,255,1,1,0
243,46,1186,13,0,0
960,55,1801,43,1,0
153,58,757,47,1,0
69,61,466,33,0,0
1221,56,2333,118,3,1
177,44,1424,14,1,0
123,37,430,9,0,0
240,44,501,4,1,0
339,44,3607,32,0,0
174,53,1114,41,1,0
276,48,1498,31,1,0
141,42,1046,6,1,0
117,41,970,3,0,0
159,46,1144,24,0,0
246,52,549,7,0,0
603,49,1345,17,1,0
417,61,2017,105,1,0
981,48,2902,90,0,1
234,51,1295,28,1,0
312,48,743,7,0,0
405,57,2917,55,1,0
234,40,1414,17,1,0
225,53,1508,60,1,0
123,40,710,7,1,0
150,41,1210,5,0,0
369,48,1120,19,0,0
126,31,338,2,1,0
60,48,835,6,1,0
270,40,14107,140,0,0
201,52,683,8,0,0
147,46,507,10,0,0
396,44,1343,11,0,0
318,45,1763,31,0,0
75,58,1548,100,1,0
261,60,1632,48,1,1
186,42,1389,20,1,0
168,38,2857,7,0,0
168,38,2502,33,0,0
378,46,1794,13,0,0
177,36,1113,6,0,0
270,45,740,4,1,0
141,50,1660,70,0,0
246,47,1404,30,0,0
120,44,362,10,2,0
105,44,735,10,1,0
360,53,2040,40,1,0
